Embassy initialized!
13:54:35.006: Core 1 started - running control loop
13:54:35.006: Core 0 - telemetry streaming via RTT
13:54:35.006: time,q_w,q_x,q_y,q_z,w_x,w_y,w_z,rw1,rw2,rw3
13:54:35.006: 0.000000,0.923435,0.222528,0.219797,0.222348,0.090977,-0.090977,0.190977,0.400000,-0.400000,0.400000
13:54:35.026: 0.020000,0.923005,0.223990,0.218734,0.223708,0.081937,-0.081973,0.181955,0.800000,-0.800000,0.800000
13:54:35.046: 0.040000,0.922592,0.225327,0.217752,0.225024,0.072878,-0.072986,0.172932,1.200000,-1.200000,1.200000
13:54:35.067: 0.060000,0.922196,0.226540,0.216853,0.226296,0.063802,-0.064018,0.163910,1.600000,-1.600000,1.600000
13:54:35.088: 0.080000,0.921817,0.227628,0.216035,0.227524,0.054707,-0.055068,0.154887,2.000000,-2.000000,2.000000
13:54:35.108: 0.100000,0.921458,0.228592,0.215299,0.228708,0.045594,-0.046136,0.145864,2.400000,-2.400000,2.400000
13:54:35.129: 0.120000,0.921118,0.229431,0.214644,0.229848,0.036464,-0.037222,0.136841,2.800000,-2.800000,2.800000
13:54:35.149: 0.140000,0.920799,0.230146,0.214071,0.230945,0.027315,-0.028326,0.127817,3.200000,-3.200000,3.200000
13:54:35.181: 0.160000,0.920501,0.230737,0.213579,0.231998,0.018149,-0.022228,0.118793,3.600000,-3.476750,3.600000
13:54:35.202: 0.180000,0.920230,0.231209,0.213142,0.233001,0.008976,-0.021606,0.109763,4.000000,-3.511573,4.000000
13:54:35.202: 0.200000,0.919999,0.231576,0.212710,0.233942,-0.000181,-0.021525,0.100716,4.400000,-3.523261,4.400000
13:54:35.222: 0.220000,0.919809,0.231838,0.212279,0.234819,-0.009321,-0.021496,0.091650,4.800000,-3.533406,4.800000
13:54:35.242: 0.240000,0.919661,0.231998,0.211847,0.235632,-0.018443,-0.021473,0.082566,5.200000,-3.544136,5.200000
13:54:35.262: 0.260000,0.919554,0.232053,0.211414,0.236380,-0.022816,-0.021450,0.073464,5.390267,-3.555659,5.600000
13:54:35.283: 0.280000,0.919478,0.232050,0.210992,0.237054,-0.023231,-0.021408,0.064353,5.405823,-3.567994,6.000000
13:54:35.303: 0.300000,0.919425,0.232022,0.210591,0.237645,-0.023253,-0.021349,0.055241,5.404781,-3.580338,6.400001
13:54:35.323: 0.320000,0.919392,0.231976,0.210211,0.238152,-0.023235,-0.021289,0.046128,5.402746,-3.591943,6.800001
13:54:35.343: 0.340000,0.919381,0.231910,0.209853,0.238576,-0.023211,-0.021231,0.037016,5.401256,-3.602669,7.200001
13:54:35.373: 0.360000,0.919391,0.231825,0.209517,0.238916,-0.023184,-0.021175,0.027904,5.400469,-3.612498,7.600001
